Date,Actual Price,Predictions,Volume,Signal,Position,Volume Adjusted Return,Volume Multiplier,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2023-10-14,26861.70703125,26863.71879522155,-0.6220972382072149,0,0.0,-0.0,1.0,0.9137345257623265,0.9701852716039555,-0.0
2023-10-15,27159.65234375,27153.953728578737,-0.5331859355025835,0,0.0,0.0,1.0,0.9238695078207481,0.9701852716039555,0.0
2023-10-16,28519.466796875,28500.746384350055,0.5449099626761525,0,0.0,0.0,1.0,0.9701252953999006,0.9701852716039555,0.0
2023-10-17,28415.748046875,28417.013131899934,-0.128980688212705,0,0.0,-0.0,1.0,0.9665971725321447,0.9701852716039555,-0.0
2023-10-18,28328.341796875,28329.107972096157,-0.2406809398186754,0,0.0,-0.0,1.0,0.9636239397327735,0.9701852716039555,-0.0
2023-10-19,28719.806640625,28714.846138875255,-0.1510498340196556,0,0.0,0.0,1.0,0.9769401054902364,0.9701852716039555,0.0
2023-10-20,29682.94921875,29668.29027159479,0.2174752397466419,0,0.0,0.0,1.0,1.0097026036382775,0.9701852716039555,0.0
2023-10-21,29918.412109375,29909.572479176346,-0.3021869012558646,0,0.0,0.0,1.0,1.0177121680509027,0.9701852716039555,0.0
2023-10-22,29993.896484375,29990.144416689123,-0.359099099985723,0,0.0,0.0,1.0,1.020279863376924,0.9701852716039555,0.0
2023-10-23,33086.234375,33038.92363653074,1.092373310857223,0,0.0,0.0,0.4,1.1254696003024263,0.9701852716039555,0.0
2023-10-24,33901.52734375,33883.65869729958,1.4340370861931475,0,0.0,0.0,0.4,1.1532028092638478,0.9701852716039555,0.0
2023-10-25,34502.8203125,34487.6357589844,0.4107927212297675,0,0.0,0.0,1.0,1.173656540853051,0.9701852716039555,0.0
2023-10-26,34156.6484375,34160.486355796886,0.1078270766895473,1,0.0,-0.0,1.0,1.1618810720167856,0.9701852716039555,-0.0
2023-10-27,33909.80078125,33918.72566199814,-0.0486262735191956,1,1.0,-0.007226928505637331,1.0,1.153484240577267,0.9631738120088514,-0.007226928505637331
2023-10-28,34089.57421875,34084.628534751304,-0.3739787422137389,0,1.0,0.005301518539129857,1.0,1.1595994586632814,0.9682800958296207,0.005301518539129857
2023-10-29,34538.48046875,34533.38991189195,-0.3219867743607828,0,0.0,0.0,1.0,1.174869565621797,0.9682800958296207,0.0
2023-10-30,34502.36328125,34507.42892508697,-0.0087571330369314,1,0.0,-0.0,1.0,1.173640994364066,0.9682800958296207,-0.0
2023-10-31,34667.78125,34674.47117507273,-0.0829288359805324,0,1.0,0.004794395311462418,1.0,1.179267893244785,0.9729224133812486,0.004794395311462418
2023-11-01,35437.25390625,35434.56003924688,0.2647958852398082,0,0.0,0.0,1.0,1.2054424670284882,0.9729224133812486,0.0
2023-11-02,34938.2421875,34955.33511861619,0.1895051018143953,1,0.0,-0.0,1.0,1.1884679599485242,0.9729224133812486,-0.0
2023-11-03,34732.32421875,34746.763951296685,-0.0101299182756995,1,1.0,-0.005893770145759425,1.0,1.181463402966988,0.967188232307122,-0.005893770145759425
2023-11-04,35082.1953125,35092.188453570496,-0.405124044838721,0,1.0,0.010073356782761111,1.0,1.1933647053508494,0.9769310644472398,0.010073356782761111
2023-11-05,35049.35546875,35065.765260693646,-0.2568705481325926,0,0.0,-0.0,1.0,1.1922476170354974,0.9769310644472398,-0.0
2023-11-06,35037.37109375,35048.27479719965,-0.2422766968400673,0,0.0,-0.0,1.0,1.1918399535465596,0.9769310644472398,-0.0
2023-11-07,35443.5625,35448.4028325392,0.0770238302086007,1,0.0,0.0,1.0,1.2056570617268696,0.9769310644472398,0.0
2023-11-08,35655.27734375,35660.72865523996,-0.0030101822077194,1,1.0,0.005973294692089626,1.0,1.212858806654163,0.98276656158904,0.005973294692089626
2023-11-09,36693.125,36682.8094509677,1.0611311274005186,0,1.0,0.011643130931157054,0.4,1.2481624913713663,0.9942090413403842,0.029107827327892632
2023-11-10,37313.96875,37307.81845596552,0.2785734948009336,0,0.0,0.0,1.0,1.2692812672115907,0.9942090413403842,0.0
2023-11-11,37138.05078125,37142.31815215244,-0.178282687894546,0,0.0,-0.0,1.0,1.2632971977121412,0.9942090413403842,-0.0
2023-11-12,37054.51953125,37057.06092811423,-0.301949348174143,0,0.0,-0.0,1.0,1.2604557778792063,0.9942090413403842,-0.0
2023-11-13,36502.35546875,36511.71648867399,0.088616818577053,1,0.0,-0.0,1.0,1.241673227417894,0.9942090413403842,-0.0
2023-11-14,35537.640625,35550.41070231922,0.3381638931355144,1,1.0,-0.026428838121854925,1.0,1.2088572466902254,0.9679332515275146,-0.026428838121854925
2023-11-15,37880.58203125,37845.963362361,0.5205747030127719,0,1.0,0.06592844558740318,1.0,1.28855532590158,1.0317475862330847,0.06592844558740318
2023-11-16,36154.76953125,36178.387918998706,0.4499464428703164,1,0.0,-0.0,1.0,1.2298496574789575,1.0317475862330847,-0.0
2023-11-17,36596.68359375,36591.98159661732,0.2647312288862006,0,1.0,0.012222842746045792,1.0,1.2448819164436011,1.044358474733224,0.012222842746045792
2023-11-18,36585.703125,36587.87577695632,-0.2842560112270106,0,0.0,-0.0,1.0,1.2445084020800405,1.044358474733224,-0.0
2023-11-19,37386.546875,37381.98718069652,-0.2307057983460854,0,0.0,0.0,1.0,1.2717501028127849,1.044358474733224,0.0
2023-11-20,37476.95703125,37472.99993084516,0.183788573097414,0,0.0,0.0,1.0,1.2748255172363392,1.044358474733224,0.0
2023-11-21,35813.8125,35845.885392518365,0.4065213307887606,1,0.0,-0.0,1.0,1.218251578068289,1.044358474733224,-0.0
2023-11-22,37432.33984375,37416.176036482975,0.3662316528940768,0,1.0,0.045192824521265385,1.0,1.273307807858684,1.091555984019139,0.045192824521265385
2023-11-23,37289.62109375,37295.84088481228,-0.1631697633902319,0,0.0,-0.0,1.0,1.2684530512642154,1.091555984019139,-0.0
2023-11-24,37720.28125,37711.785475617275,0.2895798884630223,0,0.0,0.0,1.0,1.2831024945471023,1.091555984019139,0.0
2023-11-25,37796.79296875,37796.70231526294,-0.429130101536318,0,0.0,0.0,1.0,1.2857051362543461,1.091555984019139,0.0
2023-11-26,37479.12109375,37489.93735500136,-0.1876140659816235,0,0.0,-0.0,1.0,1.2748991305260629,1.091555984019139,-0.0
2023-11-27,37254.16796875,37254.55283121447,0.0857683115139155,1,0.0,-0.0,1.0,1.2672470689221036,1.091555984019139,-0.0
2023-11-28,37831.0859375,37821.4785436749,0.2257946241727342,0,1.0,0.01548599794884531,1.0,1.2868716544321115,1.108459817748709,0.01548599794884531
2023-11-29,37858.4921875,37855.48660839068,0.1754873534373273,0,0.0,0.0,1.0,1.2878039122673093,1.108459817748709,0.0
2023-11-30,37712.74609375,37717.64983611766,0.0396540793600243,1,0.0,-0.0,1.0,1.2828461767928125,1.108459817748709,-0.0
2023-12-01,38688.75,38676.57088907171,0.3202463219281607,0,1.0,0.025879947957747618,1.0,1.3160461690860061,1.1371467001453,0.025879947957747618
2023-12-02,39476.33203125,39468.31502511904,-0.0945873449189923,0,0.0,0.0,1.0,1.3428367558862397,1.1371467001453,0.0
2023-12-03,39978.390625,39971.10068379622,-0.0823347970652927,0,0.0,0.0,1.0,1.3599149062261031,1.1371467001453,0.0
2023-12-04,41980.09765625,41949.90816254869,1.169974843964668,0,0.0,0.0,0.4,1.4280054718326187,1.1371467001453,0.0
2023-12-05,44080.6484375,44052.978717410464,0.9857153343605468,0,0.0,0.0,0.4,1.4994583310910514,1.1371467001453,0.0
2023-12-06,43746.4453125,43749.81997447294,0.6528400494400722,1,0.0,-0.0,1.0,1.4880899942398267,1.1371467001453,-0.0
2023-12-07,43292.6640625,43298.06757198821,0.5346094583907872,1,1.0,-0.010372985662227885,1.0,1.4726540580654721,1.125351093728843,-0.010372985662227885
2023-12-08,44166.6015625,44155.48793092872,0.3674726486673186,0,1.0,0.02018673414826888,1.0,1.502382134028009,1.1480682570814107,0.02018673414826888
2023-12-09,43725.984375,43730.307917753045,0.0007756519767814,1,0.0,-0.0,1.0,1.4873939898868096,1.1480682570814107,-0.0
