Date,Actual Price,Predictions,Volume,SMA20,SMA50,Volatility,Signal,Position,Volume Adjusted Return,Volume Multiplier,Position Size,Adjusted Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2021-12-19,46707.015625,46705.73735102733,0.4055797552706652,49935.7421875,56433.46078125,0.03440241925008025,0,,,2.0,0.25,,,,
2021-12-20,46880.27734375,46859.68170930851,0.7075432808439196,49429.484765625,56144.6871875,0.034523594828204364,0,0.0,0.0,2.2,0.25,0.0,1.0037095437683512,1.0,0.0
2021-12-21,48936.61328125,48899.23300749024,0.5044561598342172,49014.8240234375,55903.331328125,0.036422457949709094,0,0.0,0.0,2.2,0.25,0.0,1.0477358192643036,1.0,0.0
2021-12-22,48628.51171875,48636.70282192965,0.3688693117965599,48622.3587890625,55611.373515625,0.03639541128542973,0,0.0,-0.0,2.0,0.25,-0.0,1.0411393463709449,1.0,-0.0
2021-12-23,50784.5390625,50749.788272280406,0.5651870503892059,48481.6734375,55367.663359375,0.036547500654066915,0,0.0,0.0,2.2,0.25,0.0,1.0873000208413552,1.0,0.0
2021-12-24,50822.1953125,50811.4432596572,0.3647064252271546,48562.748046875,55155.06265625,0.03132502113024006,0,0.0,0.0,2.0,0.5,0.0,1.0881062434076252,1.0,0.0
2021-12-25,50429.859375,50428.43013936227,0.0872098087674802,48615.7986328125,54941.146328125,0.03139912785178815,0,0.0,-0.0,2.0,0.5,-0.0,1.0797063075039919,1.0,-0.0
2021-12-26,50809.515625,50791.06196328388,0.187748509036109,48627.1431640625,54726.78703125,0.03096878002248379,0,0.0,0.0,2.0,0.5,0.0,1.0878347705393563,1.0,0.0
2021-12-27,50640.41796875,50636.565101749075,0.3624413032282785,48624.159765625,54473.055625,0.030978805442537737,0,0.0,-0.0,2.0,0.5,-0.0,1.084214379598354,1.0,-0.0
2021-12-28,47588.85546875,47619.9942016291,0.8358850186288662,48478.3626953125,54073.496171875,0.03382340924248083,0,0.0,-0.0,2.2,0.25,-0.0,1.0188802438338191,1.0,-0.0
2021-12-29,46444.7109375,46449.91569129309,0.660091143905225,48416.9921875,53662.953828125,0.03184870979514842,0,0.0,-0.0,2.2,0.5,-0.0,0.994384040941387,1.0,-0.0
2021-12-30,47178.125,47156.288983951905,0.485254723571193,48413.733203125,53306.61171875,0.031995684446325175,0,0.0,0.0,2.2,0.25,0.0,1.0100864799151894,1.0,0.0
2021-12-31,46306.4453125,46308.35968278207,1.0201351813130428,48260.930078125,52933.74140625,0.03046374043410424,0,0.0,-0.0,2.2,0.5,-0.0,0.9914237656347799,1.0,-0.0
2022-01-01,47686.8125,47658.55220874223,0.3758720249987523,48140.35390625,52604.358828125,0.03109397439515967,0,0.0,0.0,2.0,0.5,0.0,1.020977509735723,1.0,0.0
