Date,Actual Price,Predictions,Volume,SMA20,SMA50,Volatility,Signal,Position,Volume Adjusted Return,Volume Multiplier,Position Size,Adjusted Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2023-08-11,29397.71484375,29397.92070416527,-0.3721674663013175,29336.77041015625,29959.4691015625,0.010605605820939824,0,,,2.0,1.0,,,,
2023-08-12,29415.96484375,29415.325125319498,-0.580178883623668,29303.34169921875,29933.8790234375,0.010287511832952592,0,0.0,0.0,2.0,1.0,0.0,1.0006207965516027,1.0,0.0
2023-08-13,29282.9140625,29281.96512399053,-0.5211395637273627,29308.6416015625,29908.5633984375,0.007756942065524242,0,0.0,-0.0,2.0,1.0,-0.0,0.9960949079933537,1.0,-0.0
2023-08-14,29408.443359375,29405.346348568903,-0.1736333699338468,29317.69423828125,29887.12703125,0.0078042387539579315,0,0.0,0.0,2.0,1.0,0.0,1.0003649438632227,1.0,0.0
2023-08-15,29170.34765625,29170.42482154192,-0.2450448014664776,29308.46298828125,29865.1113671875,0.007961623523317158,0,0.0,-0.0,2.0,1.0,-0.0,0.9922658210439665,1.0,-0.0
2023-08-16,28701.779296875,28704.799109868374,-0.1249905687545515,29283.01748046875,29825.383671875,0.008662233644263204,0,0.0,-0.0,2.0,1.0,-0.0,0.9763268828691642,1.0,-0.0
2023-08-17,26664.55078125,26686.556969294077,0.7158074129239198,29150.28271484375,29756.949765625,0.017836989945287682,0,0.0,-0.0,2.2,1.0,-0.0,0.9070280095909877,1.0,-0.0
2023-08-18,26049.556640625,26053.8351863032,0.3469419117771029,28984.9146484375,29669.0338671875,0.018242151877638602,0,0.0,-0.0,2.0,1.0,-0.0,0.8861082155221726,1.0,-0.0
2023-08-19,26096.205078125,26090.477563553493,-0.3494844834222889,28825.95947265625,29581.4129296875,0.01831041486176517,0,0.0,0.0,2.0,1.0,0.0,0.8876950204064276,1.0,0.0
2023-08-20,26189.583984375,26183.645013894704,-0.4324051367233574,28673.93310546875,29493.403046875,0.018405216145041054,0,0.0,0.0,2.0,1.0,0.0,0.8908714205703966,1.0,0.0
2023-08-21,26124.140625,26120.83293267263,-0.2070195858920702,28496.353515625,29403.47046875,0.017779223126688736,0,0.0,-0.0,2.0,1.0,-0.0,0.8886452829361337,1.0,-0.0
2023-08-22,26031.65625,26033.00376052307,-0.1481506115125608,28340.33837890625,29300.9748046875,0.017579693837987992,0,0.0,-0.0,2.0,1.0,-0.0,0.8854993113702634,1.0,-0.0
2023-08-23,26431.640625,26425.041621737393,-0.019134516395242,28202.98642578125,29214.0559765625,0.018144723549396842,0,0.0,0.0,2.0,1.0,0.0,0.8991052796275218,1.0,0.0
2023-08-24,26162.373046875,26163.36546799309,-0.2330170926477054,28057.40048828125,29127.0201171875,0.018182054502915112,0,0.0,-0.0,2.0,1.0,-0.0,0.8899458065339101,1.0,-0.0
2023-08-25,26047.66796875,26047.0155120685,-0.2572188383641764,27907.6775390625,29049.78671875,0.01815883758428201,0,0.0,-0.0,2.0,1.0,-0.0,0.8860439699886322,1.0,-0.0
2023-08-26,26008.462890625,26009.20188445751,-0.5884737748821316,27756.00791015625,28963.1106640625,0.018139126026914865,0,0.0,-0.0,2.0,1.0,-0.0,0.8847103602732725,1.0,-0.0
2023-08-27,26089.693359375,26086.29898926937,-0.5427750548746313,27601.463671875,28879.0537109375,0.018094309750541212,0,0.0,0.0,2.0,1.0,0.0,0.8874735161573861,1.0,0.0
2023-08-28,26106.150390625,26098.410519386878,-0.3301765437962916,27418.49658203125,28797.75203125,0.01715246999610884,0,0.0,0.0,2.0,1.0,0.0,0.8880333226368172,1.0,0.0
2023-08-29,27727.392578125,27696.881864740208,0.6246929718566417,27326.79150390625,28744.01046875,0.022991335606185954,0,0.0,0.0,2.2,0.5,0.0,0.9431819012293018,1.0,0.0
2023-08-30,27297.265625,27295.2609735927,-0.0524933396259516,27220.1751953125,28677.5367578125,0.023161880288719572,0,0.0,-0.0,2.0,0.5,-0.0,0.9285505955168972,1.0,-0.0
2023-08-31,25931.47265625,25945.193981599867,0.1470192059432823,27046.8630859375,28588.33328125,0.025374090653601095,0,0.0,-0.0,2.0,0.5,-0.0,0.8820914412591856,1.0,-0.0
