Date,Volume,Close,Take Profit,Stop Loss,Amount to Buy,Possible Profit %,Correct Signal,Predictions
2024-05-21,5581.92508,70147.6,75256.94285714287,62483.58571428571,0.026095984759944877,7.283703016415196,,1299782594.4072583
2024-05-22,4373.91302,69154.31,74213.60142857143,61565.37285714285,0.02635415160715145,7.315945208001405,,1281192632.0106645
2024-05-23,4169.62256,67971.89,73172.45142857142,60171.047857142854,0.025638257554427037,7.651047261701015,,1259469064.5819733
2024-05-24,2279.98961,68563.82,73670.9842857143,60903.07357142858,0.026107116566876868,7.448774420261715,,1270039770.347861
2024-05-27,2200.53256,69420.01,74515.42428571428,61776.888571428564,0.026167319447832172,7.339979187145445,,1286042936.237018
2024-06-03,2797.09063,68809.01,72982.31571428571,62549.05142857142,0.031949093227682246,6.065057053263394,,1274709588.0722277
2024-06-04,3106.6286,70542.11,74671.40000000001,64348.174999999996,0.03228965108610275,5.853652520459067,0.0,1306526257.4165802
2024-06-05,3512.44248,71108.61,75182.36142857143,64997.98285714285,0.032729864762536615,5.728914443091249,0.0,1317314677.8067586
2024-06-06,2948.67102,70799.88,74551.83571428573,65171.94642857143,0.035537022152383475,5.299381459807168,0.0,1311832622.5624676
2024-06-07,4058.19383,69346.95,73234.64285714286,63515.41071428571,0.034296262136130434,5.60614829800425,,1285241920.4251242
2024-06-10,2427.64828,69524.94,73016.00142857144,64288.34785714285,0.03819277777300361,5.021308078182361,0.0,1288133317.72286
