Date,Actual Price,Predictions,Volume,Signal,Stop Loss,Take Profit,Market Return,Strategy Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2023-08-26,26008.462890625,26009.20188445751,-0.5884737748821316,0,25878.420576171873,33811.001757812504,-0.0015051281432193475,-0.0,0.8847103602732725,0.9786853449065172,-0.0
2023-08-27,26089.693359375,26086.29898926937,-0.5427750548746313,0,25959.244892578125,33916.601367187504,0.0031232321991347956,0.0,0.8874735161573861,0.9786853449065172,0.0
2023-08-28,26106.150390625,26098.410519386878,-0.3301765437962916,0,25975.619638671877,33937.9955078125,0.0006307866874213364,0.0,0.8880333226368172,0.9786853449065172,0.0
2023-08-29,27727.392578125,27696.881864740208,0.6246929718566417,-1,27588.755615234375,36045.6103515625,0.062101924766441385,0.0,0.9431819012293018,0.9786853449065172,0.0
2023-08-30,27297.265625,27295.2609735927,-0.0524933396259516,0,27160.779296875,35486.4453125,-0.015512708305083889,0.015512708305083889,0.9285505955168972,0.9938674051845123,0.015512708305083889
2023-08-31,25931.47265625,25945.193981599867,0.1470192059432823,1,25801.81529296875,33710.914453125,-0.0500340578984273,-0.0,0.8820914412591856,0.9938674051845123,-0.0
2023-09-01,25800.724609375,25797.947708809552,-0.0078211721178507,-1,25671.720986328124,33540.9419921875,-0.005042060225742162,-0.005042060225742162,0.8776438830877451,0.9888562658711699,-0.005042060225742162
2023-09-02,25868.798828125,25865.081519331517,-0.3770953363583087,0,25739.454833984375,33629.4384765625,0.0026384615075991658,-0.0026384615075991658,0.879959512690652,0.9862472066771206,-0.0026384615075991658
2023-09-03,25969.56640625,25960.5569727251,-0.4362554748719658,0,25839.71857421875,33760.436328125004,0.0038953327054152,0.0,0.8833872477598771,0.9862472066771206,0.0
2023-09-04,25812.416015625,25811.719387558962,-0.3469269137547767,0,25683.353935546875,33556.1408203125,-0.006051329012069284,-0.0,0.8780415808786157,0.9862472066771206,-0.0
2023-09-05,25779.982421875,25783.373122223347,-0.3253966360929292,0,25651.082509765623,33513.9771484375,-0.0012565113521479931,-0.0,0.8769383116645838,0.9862472066771206,-0.0
2023-09-06,25753.236328125,25752.81847094054,-0.2391951686580722,0,25624.470146484375,33479.2072265625,-0.0010374752516241204,-0.0,0.8760285098690308,0.9862472066771206,-0.0
2023-09-07,26240.1953125,26229.95813121812,-0.325731099590005,0,26108.9943359375,34112.25390625,0.018908652030005024,0.0,0.8925930281305081,0.9862472066771206,0.0
2023-09-08,25905.654296875,25909.258462525737,-0.3398184560175716,0,25776.126025390626,33677.3505859375,-0.012749181613965876,-0.0,0.8812131975075125,0.9862472066771206,-0.0
2023-09-09,25895.677734375,25898.609819727688,-0.6172516914433399,0,25766.199345703124,33664.3810546875,-0.0003851113886439439,-0.0,0.880873832269329,0.9862472066771206,-0.0
2023-09-10,25832.2265625,25833.86697563299,-0.4915218316473811,0,25703.0654296875,33581.89453125,-0.0024502611024840304,-0.0,0.8787154613819235,0.9862472066771206,-0.0
2023-09-11,25162.654296875,25170.51850995805,-0.1431496903174366,0,25036.841025390626,32711.450585937502,-0.02592003689674205,-0.0,0.8559391242011662,0.9862472066771206,-0.0
2023-09-12,25833.34375,25817.05722802716,0.0677973523012033,-1,25704.17703125,33583.346875,0.026654161568650414,0.0,0.8787534639105533,0.9862472066771206,0.0
