Date,Actual Price,Predictions,Volume,SMA20,SMA50,Volatility,Signal,Position,Volume Adjusted Return,Volume Multiplier,Position Size,Adjusted Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2022-10-15,19067.634765625,19069.39773967895,-0.0603660017977684,19429.69765625,19715.5133984375,0.01556770953184673,0,,,2.0,1.0,,,,
2022-10-16,19268.09375,19266.610999429467,0.0330476239870876,19431.96875,19700.0405078125,0.014915906124373126,0,0.0,0.0,2.0,1.0,0.0,1.0105130493026007,1.0,0.0
2022-10-17,19550.7578125,19545.26260443238,0.5261239122701655,19453.979296875,19698.719375,0.015180039949282551,0,0.0,0.0,2.2,1.0,0.0,1.025337334851094,1.0,0.0
2022-10-18,19334.416015625,19331.95589166386,0.6876879436281761,19449.3640625,19679.4478125,0.01496971812476912,0,0.0,-0.0,2.2,1.0,-0.0,1.0139913132005733,1.0,-0.0
2022-10-19,19139.53515625,19138.60052384966,0.2637100348716308,19427.68828125,19666.30234375,0.015013034311294976,0,0.0,-0.0,2.0,1.0,-0.0,1.0037708080477092,1.0,-0.0
2022-10-20,19053.740234375,19051.104942302274,0.3712606914857188,19408.78583984375,19646.381875,0.014965938601540833,0,0.0,-0.0,2.2,1.0,-0.0,0.9992713028427076,1.0,-0.0
2022-10-21,19172.46875,19166.063175467953,0.7853958443791808,19401.8044921875,19627.2884375,0.01499217304932475,0,0.0,0.0,2.2,1.0,0.0,1.0054980067356856,1.0,0.0
2022-10-22,19208.189453125,19202.280467391523,-0.0649306457364322,19410.00859375,19612.056796875,0.014648785566099927,0,0.0,0.0,2.0,1.0,0.0,1.0073713750671054,1.0,0.0
2022-10-23,19567.0078125,19558.75154358505,0.2482894835398555,19407.17998046875,19606.7551953125,0.013583669227363999,0,0.0,0.0,2.0,1.0,0.0,1.0261895643069094,1.0,0.0
2022-10-24,19345.572265625,19346.651191014545,0.6680464636288054,19357.61640625,19593.9323828125,0.010745100822181304,0,0.0,-0.0,2.2,1.0,-0.0,1.0145764015000467,1.0,-0.0
