Date,change_tomorrow
2014-09-30,-0.8677997717794428
2014-10-01,-2.277695875279151
2014-10-02,-4.328088587833667
2014-10-03,-9.31868795923194
2014-10-04,-2.607090978200177
2014-10-05,2.899002952007612
2014-10-06,1.8168464265639894
2014-10-07,4.746696494239844
2014-10-08,3.310996614713002
2014-10-09,-0.9580622813071038
2014-10-10,0.20342299837244893
2014-10-11,4.292707025486497
2014-10-12,3.0390790775579823
2014-10-13,2.6083253373171855
2014-10-14,-1.5444279889752055
2014-10-15,-3.193522126392878
2014-10-16,0.3132171481438295
2014-10-17,1.962995987064864
2014-10-18,-0.4867194484013293
2014-10-19,-1.7503137688007264
2014-10-20,0.9392599328506668
2014-10-21,-0.8657046681642022
2014-10-22,-6.902852781463631
2014-10-23,-0.020089848205406824
2014-10-24,-3.1888655406060895
2014-10-25,2.095553956610463
2014-10-26,-0.48584977760379733
2014-10-27,1.294397277040682
2014-10-28,-6.5636467701151835
2014-10-29,2.813162121560542
2014-10-30,-2.0643051936284573
2014-10-31,-3.8594199084647896
2014-11-01,0.043881215814955965
2014-11-02,0.5073934001031732
2014-11-03,0.8889833217631482
2014-11-04,2.6492957699633
2014-11-05,2.8068412704168044
2014-11-06,-2.0077975054934027
2014-11-07,0.8894659114768722
2014-11-08,4.893411019592242
2014-11-09,0.9974827348680937
2014-11-10,0.20968359058249897
2014-11-11,13.18959883054175
2014-11-12,-0.6716863074146318
2014-11-13,-5.760672614435736
2014-11-14,-5.765247349195457
2014-11-15,3.0290122427669264
2014-11-16,-0.12235138052956174
2014-11-17,-3.254279478738775
2014-11-18,1.4076795028334366
2014-11-19,-6.347808118252374
2014-11-20,-1.992887106408192
2014-11-21,0.5871079580470617
2014-11-22,3.986414860993681
2014-11-23,2.474921240728556
2014-11-24,-0.4137517894161169
2014-11-25,-1.8942902295698616
2014-11-26,0.3516699389524591
2014-11-27,1.8002474987667605
2014-11-28,-0.2545982884226472
2014-11-29,0.6761063507096154
2014-11-30,0.31589027206668785
2014-12-01,0.5428601840906655
2014-12-02,-1.6812865021181178
2014-12-03,-1.4626480780078888
2014-12-04,1.9238219376338628
2014-12-05,-0.5520499016566704
2014-12-06,0.08264507860272774
2014-12-07,-3.6434586493301335
2014-12-08,-2.7511300079227086
2014-12-09,-1.690125754998717
2014-12-10,1.1814409987792263
2014-12-11,0.5775142450339721
2014-12-12,-1.4871450538122444
2014-12-13,1.210351044329172
2014-12-14,-1.820494659677907
2014-12-15,-5.590068197120734
2014-12-16,-2.278473281277149
2014-12-17,-2.6911087451136018
2014-12-18,2.028357154083993
2014-12-19,3.6710976084161295
2014-12-20,-2.8403321747148436
2014-12-21,3.327347258543256
2014-12-22,0.802818141145123
2014-12-23,-3.7323179920055294
2014-12-24,-1.1053017557977718
2014-12-25,2.71892734891368
2014-12-26,-3.818428998321677
2014-12-27,0.43374459659030196
2014-12-28,-1.4612850762539153
2014-12-29,-0.6220739464734226
2014-12-30,2.9532169204897762
2014-12-31,-1.891493808432121
2015-01-01,0.24855252398801042
2015-01-02,-12.078330209179855
2015-01-03,-6.3918669694917885
2015-01-04,3.7449782987790448
2015-01-05,4.093447521663041
2015-01-06,2.7682588660148166
2015-01-07,-3.877905561574968
2015-01-08,2.4307149712450182
2015-01-09,-5.681305433996164
2015-01-10,-3.4389769638582868
2015-01-11,0.7976169950128398
2015-01-12,-18.56672863566109
2015-01-13,-26.814818647931247
2015-01-14,15.125997503260535
2015-01-15,-0.839509467954791
2015-01-16,-4.434912104211275
2015-01-17,5.267216147203547
2015-01-18,2.104610922560901
2015-01-19,-1.678058798128923
2015-01-20,6.867433467371242
2015-01-21,2.7887040273798624
2015-01-22,-0.22630123867461993
2015-01-23,6.039210606528966
2015-01-24,2.3139872392169636
2015-01-25,7.223744284084555
2015-01-26,-3.794661963463697
2015-01-27,-12.63707486301402
2015-01-28,-0.1721500717351887
2015-01-29,-3.1303952041476624
2015-01-30,-4.120681284737482
2015-01-31,4.189061029710784
2015-02-01,4.725286845681332
2015-02-02,-4.8229395586319335
2015-02-03,-0.18294161890215488
2015-02-04,-4.487107854568251
2015-02-05,2.319299347643644
2015-02-06,2.4096136120346667
2015-02-07,-1.9434923770597967
2015-02-08,-1.5001598945839634
2015-02-09,-0.12327025149421189
2015-02-10,-0.2983812602561864
2015-02-11,1.1629524727860274
2015-02-12,5.803495041527141
2015-02-13,8.508443238441654
2015-02-14,-9.57990748361983
2015-02-15,-0.41993757314373603
2015-02-16,4.009276411701057
2015-02-17,-3.082181587244359
2015-02-18,1.6468084109244385
2015-02-19,1.434086651221711
2015-02-20,0.30874628255224135
2015-02-21,-3.6261972122967556
2015-02-22,1.2202138652554595
2015-02-23,-0.06576232235016022
2015-02-24,-0.5326986074644324
2015-02-25,-0.44157849403017035
2015-02-26,6.855826723523927
2015-02-27,0.17108173731860132
2015-02-28,2.282455729033195
2015-03-01,5.611062801424305
2015-03-02,2.141263644115343
2015-03-03,-3.152778192177852
2015-03-04,1.1173947360831438
2015-03-05,-1.266859484498939
2015-03-06,1.2806710175730096
2015-03-07,-0.6950809518809331
2015-03-08,5.266789478686784
2015-03-09,0.7379404526508981
2015-03-10,1.5584734651757248
2015-03-11,-0.6879450829992084
2015-03-12,-3.160122281220934
2015-03-13,-1.224611359248784
2015-03-14,1.574059254564375
2015-03-15,1.4453141942403547
2015-03-16,-1.782099119356162
2015-03-17,-11.395281437930006
2015-03-18,1.7740517087015073
2015-03-19,0.31365312147348945
2015-03-20,-0.6630128118083167
2015-03-21,2.9612620583785887
