Date,Actual Price,Predictions,Volume,RSI,Signal,Short_MA,Long_MA,Filtered Signal,Position,Strategy Return,Market Return,Cumulative Market Returns,Cumulative Strategy Returns,Signal Result
2023-08-13,29282.9140625,29281.96512399053,-0.5211395637273627,12.062065938605329,0,,,0,0.0,0.0,-0.004523080645381872,0.9960949079933537,1.0,-0.0
2023-08-14,29408.443359375,29405.346348568903,-0.1736333699338468,51.93774384952412,0,,,0,0.0,0.0,0.004286776125049352,1.0003649438632227,1.0,0.0
2023-08-15,29170.34765625,29170.42482154192,-0.2450448014664776,27.92233407423703,0,,,0,0.0,0.0,-0.008096168172366025,0.9922658210439665,1.0,-0.0
2023-08-16,28701.779296875,28704.799109868374,-0.1249905687545515,14.619232686391982,0,,,0,0.0,0.0,-0.016063173634291772,0.9763268828691642,1.0,-0.0
2023-08-17,26664.55078125,26686.556969294077,0.7158074129239198,4.759764905179722,1,,,0,0.0,0.0,-0.07097917151940503,0.9070280095909877,1.0,-0.0
2023-08-18,26049.556640625,26053.8351863032,0.3469419117771029,3.9546341177778856,1,,,0,0.0,0.0,-0.02306411031148714,0.8861082155221726,1.0,-0.0
2023-08-19,26096.205078125,26090.477563553493,-0.3494844834222889,5.171342934626651,0,,,0,0.0,0.0,0.0017907574452629138,0.8876950204064276,1.0,0.0
2023-08-20,26189.583984375,26183.645013894704,-0.4324051367233574,7.51657501289327,0,28037.7060546875,,0,0.0,0.0,0.00357825614760654,0.8908714205703966,1.0,0.0
2023-08-21,26124.140625,26120.83293267263,-0.2070195858920702,7.388513073756485,0,27710.3486328125,,0,0.0,0.0,-0.002498831574187843,0.8886452829361337,1.0,-0.0
2023-08-22,26031.65625,26033.00376052307,-0.1481506115125608,7.214802089332892,0,27371.9177734375,,0,0.0,0.0,-0.0035401882238949023,0.8854993113702634,1.0,-0.0
2023-08-23,26431.640625,26425.041621737393,-0.019134516395242,15.778616857878376,0,27086.7904296875,,0,0.0,0.0,0.015365306423789304,0.8991052796275218,1.0,0.0
2023-08-24,26162.373046875,26163.36546799309,-0.2330170926477054,14.855579652369386,0,26762.1833984375,,0,0.0,0.0,-0.01018731988472621,0.8899458065339101,1.0,-0.0
2023-08-25,26047.66796875,26047.0155120685,-0.2572188383641764,14.494379045352659,0,26449.9154296875,,0,0.0,0.0,-0.004384352975912553,0.8860439699886322,1.0,-0.0
