iter	RMSE
157	667.8366795
158	664.8618348
159	662.165135
160	661.5001016
161	658.8195734
162	657.6748867
163	655.6477802
164	654.3736427
165	653.2687066
166	650.6800319
167	648.9788995
168	647.1147342
169	646.3394554
170	645.2904893
171	644.3000735
172	642.4203467
173	641.5655089
174	640.552887
175	638.9204425
176	636.7327554
177	634.6918078
178	633.2073239
179	631.0491434
180	629.3672948
181	627.1028806
182	625.5534541
183	624.7466832
184	623.3664004
185	621.9636395
186	620.7145636
187	619.7998027
188	618.8851492
189	617.1803875
190	615.7664476
191	613.9950998
192	612.7562866
193	611.9590132
194	610.5136075
195	609.4650077
196	608.259912
197	607.177508
198	606.1239738
199	604.6441981
200	603.329537
201	601.7626072
202	600.678195
203	598.8166635
204	596.8503021
205	595.6000434
206	594.6993805
207	593.6676063
208	592.7816864
209	591.724226
210	590.4473753
211	589.463582
212	588.4272181
213	587.5960741
214	586.3952693
215	585.8797697
216	584.9844239
217	584.1082542
218	583.3312638
219	582.7474125
220	582.1757386
221	580.8094764
222	579.615439
223	578.985739
224	578.4647716
225	576.7216309
226	575.9874541
227	575.2612036
228	574.0145612
229	573.3389371
230	572.1467075
231	571.6106533
232	570.9249021
233	570.5261827
234	568.6990124
235	567.7401325
236	566.6262948
237	565.8780744
238	564.7929475
239	564.2442623
240	563.5451314
241	562.8033667
242	562.2753125
243	561.6267038
244	560.8770358
245	559.6097898
246	558.0850876
247	557.6279525
248	557.1698452
249	556.2189219
250	554.8340005
251	553.9828768
252	553.0634573
253	552.3668261
254	550.9638382
255	550.3039549
256	550.0598247
257	549.4489984
258	548.8152015
259	547.7085784
260	547.2626255
261	546.1123407
262	545.8365562
263	545.0696035
264	544.100557
265	543.5265494
266	542.448485
267	541.9896982
268	541.2798513
269	540.1920968
270	539.7550681
271	539.0160392
272	538.3584574
273	537.6611217
274	536.6758228
275	536.0213703
276	535.5659019
277	535.0946829
278	534.0738935
279	533.1149525
280	532.1071715
281	531.4959394
282	529.9359816
283	529.0499874
284	527.984968
285	527.7424059
286	526.7502148
287	526.325761
288	525.5043027
289	524.773996
290	524.1940134
291	523.5714198
292	522.4483045
293	522.0566281
294	521.4793979
295	521.0013462
296	520.1390548
297	518.9927339
298	518.186324
299	517.6637395
300	517.1288408
301	515.6436351
302	514.5706064
303	514.060077
304	512.6914872
305	511.6335074
306	510.8103216
307	509.9583089
308	509.5809297
309	508.6967416
310	508.3426577
311	508.0989455
312	506.915018
313	506.1042027
314	505.5472153
315	504.6224033
316	504.2563225
317	503.9563175
318	502.6906121
319	502.3465417
320	501.3450138
321	500.8214218
322	500.1029828
323	499.7909837
324	498.8808301
325	498.4085754
326	497.9502354
327	497.1953774
328	496.6159484
329	496.0444577
330	495.3070803
331	494.1845391
332	493.274971
333	492.6232842
334	491.7556681
335	491.350938
336	490.3964652
337	489.8721765
338	489.0924036
339	488.6644202
340	487.8491386
341	487.5644523
342	486.9481983
343	486.1597171
344	485.1285996
345	484.17976
346	483.5877677
347	483.0064544
348	482.2792318
349	481.6890476
350	480.1911509
351	479.899983
352	479.0202739
353	478.5746589
354	477.8411547
355	477.1924373
356	476.2630194
357	475.5530031
358	474.8167474
359	473.9390864
360	473.2872735
361	472.4574309
362	472.1094164
363	471.0356628
364	470.757095
365	470.0038997
366	468.8226753
367	468.6338606
368	467.9364838
369	467.448063
370	467.2114474
371	466.6269116
372	465.8576994
373	464.9791634
374	464.4641029
375	464.032399
376	463.664764
377	463.0802976
378	462.3812288
379	462.1228381
380	461.2889344
381	460.5525927
382	459.9142292
383	459.4004217
384	458.9385836
385	458.784553
386	458.3773169
387	457.9647915
388	457.4698656
389	456.7937698
390	456.3386708
391	455.646968
392	454.8812536
393	454.6554957
394	454.0388194
395	453.6565126
396	453.2883107
397	452.8048256
398	452.3456295
399	451.8452508
400	451.5964888
401	450.938844
402	450.8067745
403	449.7537622
404	448.9796912
405	448.294096
406	448.0036983
407	447.6876729
408	447.03871
409	446.5969801
410	446.1631587
411	445.190625
412	444.4198887
413	443.9671671
414	443.6030437
415	443.0299595
416	442.759324
417	442.289454
418	441.6516866
419	441.1275578
420	440.8190171
421	440.5515153
422	440.1390797
423	439.5643259
424	439.1040431
425	438.9444251
426	438.702946
427	438.2964403
428	438.0114135
429	437.5901618
430	436.9228641
431	436.7252882
432	436.2858638
433	435.7772659
434	435.5187274
435	435.314834
436	434.733422
437	434.3303982
438	433.6942886
439	433.1572535
440	432.6426517
441	432.5282772
442	431.9515242
443	431.5655407
444	431.3510066
445	430.767536
446	430.3004783
447	430.0183259
448	429.6196264
449	428.8201507
450	428.5196156
451	428.1718092
452	427.3006742
453	427.0552019
454	425.8007858
455	425.363014
456	424.5593823
457	424.1554195
458	423.6108926
459	423.3455165
460	422.8976874
461	422.527381
462	421.9782025
463	421.549409
464	421.0681657
465	420.8193743
466	420.4326034
467	420.0279267
468	419.8929956
469	419.5332727
470	419.0485853
471	418.8392135
472	418.5121345
473	417.9805675
474	417.8540704
475	417.1460937
476	416.6638405
477	416.1815338
478	416.0474633
479	415.7958785
480	415.5288925
481	415.4163499
482	414.5937404
483	414.4229197
484	414.0198002
485	413.9015829
486	413.6968694
487	413.3260227
488	412.673877
489	412.4335352
490	412.2072164
491	411.9788049
492	411.3077388
493	410.6529869
494	410.304801
495	410.1235855
496	409.7058258
497	409.0930089
498	408.9328731
499	408.3008034
